,VRSB
481,19.049999237060547
482,19.049999237060547
483,19.049999237060547
484,19.049999237060547
485,19.049999237060547
486,16.100000381469727
487,16.100000381469727
488,16.100000381469727
489,16.100000381469727
490,16.100000381469727
491,13.699999809265137
492,13.699999809265137
493,13.699999809265137
494,13.699999809265137
495,15.5
496,15.5
497,15.5
498,15.5
499,15.5
500,15.5
501,15.5
502,15.5
503,16.0
504,16.0
505,16.0
506,16.0
507,17.0
508,17.0
509,17.0
510,17.0
511,17.0
512,17.0
513,17.75
514,17.75
515,17.75
516,17.75
517,17.75
518,17.75
519,17.75
520,17.75
521,17.75
522,17.75
523,17.75
524,17.75
525,17.75
526,17.75
527,17.75
528,17.75
529,17.75
530,17.75
531,17.75
532,17.75
533,17.75
534,17.75
535,17.75
536,17.75
537,17.75
538,17.75
539,17.75
540,17.75
541,17.75
542,17.75
543,19.149999618530273
544,19.149999618530273
545,19.149999618530273
546,19.149999618530273
547,19.149999618530273
548,19.149999618530273
549,19.149999618530273
550,19.149999618530273
551,19.149999618530273
552,19.149999618530273
553,19.149999618530273
554,19.149999618530273
555,19.149999618530273
556,19.149999618530273
557,19.149999618530273
558,19.149999618530273
559,19.149999618530273
560,19.149999618530273
561,18.25
562,18.25
563,19.100000381469727
564,19.100000381469727
565,19.100000381469727
566,19.100000381469727
567,19.100000381469727
568,19.100000381469727
569,19.100000381469727
570,19.100000381469727
571,19.100000381469727
572,19.100000381469727
573,19.100000381469727
574,15.5
575,15.5
576,15.5
577,15.5
578,19.049999237060547
579,17.149999618530273
580,17.299999237060547
581,17.100000381469727
582,17.100000381469727
583,17.100000381469727
584,17.299999237060547
585,17.200000762939453
586,14.800000190734863
587,14.800000190734863
588,14.800000190734863
589,14.800000190734863
590,16.25
591,16.100000381469727
592,16.850000381469727
593,16.850000381469727
594,16.850000381469727
595,16.850000381469727
596,16.850000381469727
597,16.850000381469727
598,16.850000381469727
599,17.0
600,17.0
601,17.700000762939453
602,20.100000381469727
603,20.299999237060547
604,21.0
605,20.5
606,20.5
607,20.5
608,20.5
609,20.299999237060547
610,20.299999237060547
611,20.299999237060547
612,20.299999237060547
613,20.299999237060547
614,20.299999237060547
615,20.299999237060547
616,20.299999237060547
617,20.299999237060547
618,20.899999618530273
619,20.700000762939453
620,20.700000762939453
621,20.700000762939453
622,20.700000762939453
623,20.200000762939453
624,20.75
625,20.75
626,20.75
627,20.649999618530273
628,20.600000381469727
629,20.350000381469727
630,20.600000381469727
631,20.649999618530273
632,20.649999618530273
633,20.649999618530273
634,20.5
635,20.700000762939453
636,20.700000762939453
637,20.700000762939453
638,20.700000762939453
639,20.700000762939453
640,20.700000762939453
641,20.700000762939453
642,20.700000762939453
643,20.700000762939453
644,20.700000762939453
645,20.700000762939453
646,20.700000762939453
647,20.700000762939453
648,20.700000762939453
649,20.700000762939453
650,20.700000762939453
651,20.700000762939453
652,14.800000190734863
653,20.700000762939453
654,20.700000762939453
655,20.700000762939453
656,20.700000762939453
657,20.700000762939453
658,20.700000762939453
659,20.700000762939453
660,15.550000190734863
661,19.899999618530273
662,19.899999618530273
663,19.899999618530273
664,19.899999618530273
665,21.549999237060547
666,21.549999237060547
667,21.549999237060547
668,21.549999237060547
669,21.549999237060547
670,21.549999237060547
671,21.549999237060547
672,21.549999237060547
673,21.549999237060547
674,21.549999237060547
675,21.549999237060547
676,21.549999237060547
677,21.549999237060547
678,21.549999237060547
679,21.549999237060547
680,21.549999237060547
681,21.549999237060547
682,21.549999237060547
683,21.549999237060547
684,21.549999237060547
685,21.549999237060547
686,21.549999237060547
687,21.549999237060547
688,21.549999237060547
689,21.549999237060547
690,21.549999237060547
691,21.549999237060547
692,21.549999237060547
693,21.549999237060547
694,21.549999237060547
695,21.549999237060547
696,21.549999237060547
697,21.549999237060547
698,21.549999237060547
699,24.5
700,24.5
701,24.5
702,24.5
703,24.5
704,24.5
705,24.5
706,24.5
707,24.5
708,24.5
709,24.5
710,24.5
711,24.5
712,24.5
713,24.5
714,24.5
715,24.5
716,24.5
717,24.5
718,24.5
719,24.5
720,24.5
721,24.5
722,24.5
723,29.5
724,23.0
725,23.0
726,25.549999237060547
727,23.0
728,23.0
729,23.0
730,23.0
731,23.0
732,23.0
733,24.0
734,24.0
735,24.0
736,24.0
737,24.0
738,24.0
739,24.0
740,24.0
741,24.0
742,24.0
743,24.0
744,24.0
745,24.0
746,24.0
747,20.5
748,21.5
749,21.5
750,21.5
751,21.5
752,21.5
753,20.149999618530273
754,20.149999618530273
755,20.149999618530273
756,20.149999618530273
757,20.149999618530273
758,20.149999618530273
759,22.75
760,23.0
761,29.549999237060547
762,32.04999923706055
763,30.25
764,34.900001525878906
765,29.649999618530273
766,36.5
767,30.5
768,33.5
769,27.049999237060547
770,27.100000381469727
771,27.049999237060547
772,32.45000076293945
773,32.400001525878906
774,31.950000762939453
775,27.75
776,27.75
777,27.75
778,39.20000076293945
779,22.049999237060547
780,26.100000381469727
781,30.0
782,32.95000076293945
783,27.850000381469727
784,24.149999618530273
785,24.200000762939453
786,24.200000762939453
787,28.600000381469727
788,25.100000381469727
789,26.100000381469727
790,25.200000762939453
791,26.0
792,26.0
793,26.0
794,26.0
795,26.0
796,26.0
797,26.0
798,26.0
799,26.0
800,26.0
801,26.0
802,26.0
803,26.0
804,25.0
805,23.049999237060547
806,23.049999237060547
807,26.899999618530273
808,26.5
809,26.5
810,26.5
811,25.0
812,25.049999237060547
813,28.299999237060547
814,28.299999237060547
815,28.299999237060547
816,27.0
817,27.0
818,27.0
819,27.0
820,27.0
821,27.0
822,28.950000762939453
823,28.950000762939453
824,28.950000762939453
825,28.950000762939453
826,28.950000762939453
827,28.950000762939453
828,28.950000762939453
829,28.950000762939453
830,28.950000762939453
831,23.700000762939453
832,24.200000762939453
833,28.950000762939453
834,28.950000762939453
835,28.950000762939453
836,28.899999618530273
837,28.350000381469727
838,28.450000762939453
839,28.450000762939453
840,28.450000762939453
841,28.450000762939453
842,28.450000762939453
843,28.850000381469727
844,28.850000381469727
845,28.850000381469727
846,28.850000381469727
847,28.850000381469727
848,27.850000381469727
849,29.950000762939453
850,33.849998474121094
851,33.849998474121094
852,33.849998474121094
853,25.049999237060547
854,26.899999618530273
855,26.899999618530273
856,28.950000762939453
857,28.950000762939453
858,28.950000762939453
859,29.0
860,27.649999618530273
861,27.649999618530273
862,27.649999618530273
863,27.649999618530273
864,27.649999618530273
865,27.200000762939453
866,27.200000762939453
867,25.0
868,26.0
869,26.450000762939453
870,26.450000762939453
871,24.0
872,24.0
873,24.0
874,15.149999618530273
875,22.200000762939453
876,26.299999237060547
877,26.950000762939453
878,25.5
879,25.850000381469727
