,BLNG
227,2.8989999294281006
228,2.8440001010894775
229,2.799999952316284
230,2.7660000324249268
231,2.7820000648498535
232,2.7070000171661377
233,2.700000047683716
234,2.7200000286102295
235,2.7190001010894775
236,2.7899999618530273
237,2.7200000286102295
238,2.7679998874664307
239,2.7130000591278076
240,2.799999952316284
241,2.8510000705718994
242,2.8380000591278076
243,2.8269999027252197
244,2.8499999046325684
245,2.8499999046325684
246,2.880000114440918
247,2.8369998931884766
248,2.8239998817443848
249,2.819999933242798
250,2.802999973297119
251,2.880000114440918
252,2.927000045776367
253,2.9040000438690186
254,2.8889999389648438
255,2.8580000400543213
256,2.867000102996826
257,2.806999921798706
258,2.809000015258789
259,2.808000087738037
260,2.8499999046325684
261,2.7799999713897705
262,2.7839999198913574
263,2.757999897003174
264,2.7899999618530273
265,2.755000114440918
266,2.763000011444092
267,2.756999969482422
268,2.734999895095825
269,2.811000108718872
270,2.8450000286102295
271,3.119999885559082
272,2.930000066757202
273,3.009999990463257
274,2.9549999237060547
275,2.9149999618530273
276,2.9800000190734863
277,2.924999952316284
278,2.815000057220459
279,2.869999885559082
280,2.884999990463257
281,2.8949999809265137
282,2.7950000762939453
283,2.8450000286102295
284,2.890000104904175
285,2.8499999046325684
286,2.805000066757202
287,2.8299999237060547
288,2.859999895095825
289,2.859999895095825
290,2.9600000381469727
291,3.0
292,3.049999952316284
293,3.059999942779541
294,4.190000057220459
295,3.809999942779541
296,4.110000133514404
297,4.244999885559082
298,4.144999980926514
299,4.394999980926514
300,4.300000190734863
301,4.480000019073486
302,4.355000019073486
303,4.300000190734863
304,4.489999771118164
305,4.800000190734863
306,4.815000057220459
307,4.869999885559082
308,5.119999885559082
309,5.25
310,5.300000190734863
311,5.199999809265137
312,5.085000038146973
313,5.559999942779541
314,5.775000095367432
315,6.005000114440918
316,5.295000076293945
317,5.050000190734863
318,4.769999980926514
319,4.769999980926514
320,4.565000057220459
321,4.400000095367432
322,4.25
323,3.244999885559082
324,3.5999999046325684
325,3.200000047683716
326,3.7249999046325684
327,3.8499999046325684
328,3.619999885559082
329,3.4100000858306885
330,3.509999990463257
331,3.369999885559082
332,3.2950000762939453
